This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
The solution can be obtain by using technology to achieve a better usage of space that we have and resolve the problems in lands that inhospitable such as desserts and swamps .|||4~5~Vform~obtained	22~23~Prep~of
Some countries are having difficulties in managing a place to live for their citizen as they tend to get overpopulated .|||13~14~Nn~citizens
This caused problem like the appearance of slums which most of the time is not safe due to the unhealthy environment .|||1~1~Vt~has	2~3~Nn~problems	13~14~Vform~are	18~19~ArtOrDet~their
The only way to satisfy the increasing demands of space is by achieving a better usage of the land like designing taller building so it can accommodate more number of people with the same spaces .|||8~9~Prep~for	17~18~ArtOrDet~
It is also important to create a better material that can support the buildings despite any natural disaster like earthquakes .|||6~7~ArtOrDet~	12~13~ArtOrDet~	17~18~Nn~disasters
A good example is Japan where there are a lot of tall condominiums despite the large number of earthquakes happening in there .|||20~21~Prep~
Besides a better usage of lands , a better sanitation is also needed because a huge number of people need a clean environment to maintain their heath .|||5~6~Nn~land	7~8~ArtOrDet~	19~19~Vt~will
For example , countries with a lot of deserts can terraform their desert to increase their habitable land and using irrigation to provide clean water to the desert .|||8~9~Nn~desert	19~20~Vform~use
Another example is Netherlands , whose most of his lands is a swamp under sea level , have used a good irrigation system to counter their problem and to make their land habitable .|||9~10~Nn~land	11~12~ArtOrDet~
As the number of people grows , the need of habitable environment is unquestionably essential .|||9~10~Prep~for
In this era , Engineering designs can help to provide more habitable accommodation by designing a stronger material so it 's possible to create a taller and safer building , a better and efficient sanitation system to prevent disease , and also by designing a way to change the condition of the inhabitable environment .|||15~16~ArtOrDet~	24~29~ArtOrDet~taller and safer buildings
On one hand more and more virus and hack can access personal computers , so the secret data and documents may be stolen .|||6~7~Nn~viruses	15~16~ArtOrDet~
On the other hand , some important departments need strict administration to their members to avoid information leaks .|||11~12~Prep~for
As we can see , the biometric identification involved in important secure areas is designed to identify human with accuracy and reliability .|||17~18~Nn~people
We do not want to spend time and effort to remember password , neither do we want to carry any cards or equipments to show our identification .|||11~12~Nn~passwords	22~23~Nn~equipment
For government and other organizations , they are also looking for small size equipments and time-saving progress of identification .|||13~14~Nn~equipment	17~18~Prep~for
Therefore nowadays the biometric identification progress is designed to be very quick , and the equipments can be easily set up or can be combined with other equipments .|||2~3~ArtOrDet~	15~16~Nn~equipment	27~28~Nn~equipment
We can have fingerprint verification reader combined with built-in smartcard reader , and it only takes seconds to verify one 's identification .|||3~3~ArtOrDet~a	8~8~ArtOrDet~a
Therefore , the equipments of biometric identification tend to be in-expensive .|||3~4~Nn~equipment
This technology is widely used in our society and it brings benefit to the government , the military , business and every individual .|||11~12~Nn~benefits
All in all , biometric identification achieves great development as human seek for better information protection , easier life style and greater economic profit , and it benefits much to those who shaped it .|||10~11~Nn~humans	32~33~Vt~shape
Nuclear technology had come a long way since Ernest Rutherford first split the atom in 1917 .|||2~3~Vt~has
The subsequent realization that the additional neutrons produced from fission reaction can induce a nuclear chain reaction sparked off widespread interest in nuclear technology .|||11~12~Vt~could	17~17~Vt~has
Since then , nuclear technology had been through wars , arms races and had found many applications in the medical , industrial and energy fields .|||5~6~Vt~has	13~14~Vt~has
The leakage of radioactive gas into the atmosphere prompted the many anti-nuclear demonstrations that sprung up across the America in the following months .|||14~15~Vform~sprang	17~18~ArtOrDet~
To partly offset this gigantic demand for energy , China had launched an ambitious program to produce 16 % of its electricity from nuclear power by 2030 .|||10~11~Vt~has
Safety concerns characterized the basic concept of the Pebble Bed reactor with its passive safety design .|||2~3~Vt~characterize
In conclusion , nuclear technology development had always been driven by social factors .|||6~7~Vt~has
World War 2 had given it momentum in its initial research , but it will be mankind 's need for a renewable and environmentally friendly energy source that will drive nuclear technology 's future developments .|||3~4~Vt~has
Carbon dioxide is a greenhouse gas which is trapping heat within the Earth .|||7~9~Vt~traps
Presently in the market , there are already technologies which can replace present day equipments and emit less carbon dioxide .|||14~15~Nn~equipment
These solutions may be generated by analyzing existing products to find out how the weaknesses can be improved while retaining the strength .|||21~22~Nn~strengths
Therefore careful analysis of the product has to be made before selecting a solution for testing and implementation .|||4~5~ArtOrDet~a
According Khandani 's article , engineers can test the solution by prototyping or concurrent engineering .|||1~1~Prep~to
Research had shown that fuel consumption had increased twenty percent over the last decade , and had projected that the depletion of fuels is drawing .|||1~2~Vt~has	6~7~Vt~has	16~17~Vt~has
These green house gases are the main cause to worldwide global warming which give rise to further catastrophes such as the rise in global temperature etc .|||8~9~Prep~of
Engineers around the world had already started on working on this problem .|||4~5~Vt~have
To guide them in this heavy responsibility of saving the earth , they use a set of simple steps which guide them in engineering a remedy , known as the Engineering Design Process .|||13~14~Vt~have used
Firstly , we can define this worldwide problem as the search of alternative resources to the existing near-depletion fuels .|||11~12~Prep~for
Studies had shown that an average of 2 lbs ( pounds ) of fuel is needed to produce 1kilowatt of power .|||1~2~Vt~have
In addition , we realized that burning of fuels produce the large amount of greenhouse gases .|||4~5~Vt~realize	10~11~ArtOrDet~a
All the solutions will be thoroughly analysed by the engineers before coming to a conclusion .|||8~9~ArtOrDet~
Lastly , the engineers will put their solution to test and ensure that the solution is able to solve the problem .|||2~3~ArtOrDet~
This had shown that the engineering design process is essential in solving problems and it ensures that the problem is thoroughly looked into and ensure that the engineers are generating ideas that target the main problem , the depletion and harmful fuel .|||1~2~Vt~has
Since the reform and open policy in 1970 's , China has been eagerly speeding up on its way to industrialization and flourish .|||7~7~ArtOrDet~the	22~23~Vform~development
Not only parents and teachers but also whole society pushes students concentrating on how to get outstanding marks in examinations .|||7~7~ArtOrDet~the
Many years ago , the situation is different .|||6~7~Vt~was
In 1931 , Qian Weichang entered Tsing Hua University , major in history with 0 marks in mathematics and physics .|||10~11~Vform~majoring
After several years researching and studying , Qian Weichang made many great breakthroughs in physics .|||3~3~Prep~of
Recently , a student got a very good result in the National College Entrance Examination ( NCEE ) , but he did not enter the university which he applied for , because the secondary school offered him ¥ 100,000 encouraging him to stay another year in secondary school for the next year 's NCEE , expecting that he could become the top 1 student in his province .|||43~43~Prep~for	46~46~ArtOrDet~the
Therefore , the lack of creative qualified human resource seriously hampers engineering design processes for innovations in China .|||8~9~Nn~resources
This problem significantly discourages engineers to make more effort to do research and design , for they will have little motivation to work hard .|||17~18~Vt~
21st century will be a more competitive and challenging opportunity for China to develop .|||0~0~ArtOrDet~The
If China can come up with effective policy to change its education system and stimulate innovation , China 's pace to flourish may become even faster .|||6~6~ArtOrDet~an
Statistics show that the numbers are only continuing to grow with the existing population explosion .|||4~5~Nn~number
This determines how accurate the engineer might have been in his work and also if he looked at nature as a considerable factor during his designing process .|||6~8~Vt~has	16~16~Vt~has
If that is the case , what the engineer would do is analyze the problem at hand and point out exactly which part of the solution needs to be modified .|||12~12~Vform~to
The process of developing a new product based on innovation is not an easy task for the innovators .|||16~17~ArtOrDet~
The innovators , who are normally work under Research and Development department , have to recognize the needs from the public or through research , are require to spend countless days and nights to understand the problems , to produce solutions to the problems , to convert the solutions into practical products and to commercialize them .|||0~2~ArtOrDet~Innovators	7~8~Prep~with	8~8~ArtOrDet~a	26~27~Vform~required
By diffusion and adoption of the innovation products by the public or specific users , the innovators have to face the consequences .|||15~16~ArtOrDet~
These are not the only challenges that the innovators are going to deal with .|||7~8~ArtOrDet~
So , the manufacture company , for example , the company that the innovators are working for , is one of the major investors that is providing the fund .|||12~13~ArtOrDet~
Innovators required development fund in order to obtain their needs , such as hardware equipments , to work on their prototypes .|||1~2~Vt~require
But at times , there are some critical situations that happen or affect to the manufacturing company , the innovators somehow get to be involve too .|||13~14~Prep~
Then the innovators have to stop all works for the development .|||7~8~Nn~work
For another example , during this recent economic downturn , most of the major manufacturing companies are slowing down in manufacturing productions and releasing of new products .|||24~25~Prep~
This shows that the manufacturing companies are trying to reduce the unnecessary burden to maintain the companies ' stand .|||3~4~ArtOrDet~
Therefore , this is one of the major factors that will definitely affect the innovators from developing innovation products .|||13~14~ArtOrDet~
Another challenge that the innovators need to be concern about is commercializing the finalize products .|||3~4~ArtOrDet~
There are cases that marketing department do not wish to market the innovated products due to various reasons .|||5~6~Nn~departments
Another example is the marketing department has set the price of the innovated product too high ; therefore , they fail to obtain the sales target for the selling the innovated product .|||27~28~ArtOrDet~
So , this is another major factor that the innovators have to face .|||8~9~ArtOrDet~
In brief , innovators have to face many challenges when they want to develop the products .|||14~15~ArtOrDet~new
They have to obtain fund from the investors in order to develop their innovation prototypes and require help from the marketing department to have their innovation products for sales in the marketplace .|||6~7~ArtOrDet~
